"site number","site location","cluster","site acronym","arsenic (ug/L)","perchlorate (ug/L)","date","BDL" 
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2006-03-13,NA
"Green In","Greenway WTP Inlet","srp","Green In",5.1,NA,2006-04-10,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",3.2,NA,2006-04-10,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",16.9,NA,2006-04-10,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2006-04-10,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",5.2,NA,2006-04-10,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",5.3,NA,2006-04-10,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",NA,NA,2006-04-10,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",NA,NA,2006-04-10,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",5.4,NA,2006-04-10,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",4.7,NA,2006-04-10,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2,NA,2006-04-10,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",5.9,NA,2006-04-10,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",0,NA,2006-04-10,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",NA,NA,2006-04-10,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",NA,NA,2006-04-10,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",5,NA,2006-04-10,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2006-04-10,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",5.4,NA,2006-04-10,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2006-04-10,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",17,NA,2006-04-10,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",5.2,NA,2006-04-10,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",4.2,NA,2006-04-10,NA
"R25","verde river at beeline highway","verde","verde @ beeline",10.6,NA,2006-04-10,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.6,NA,2006-04-10,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.8,NA,2006-04-10,NA
"R3","Waddell Canal","cap","waddell canal",0,NA,2006-04-10,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",11.8,NA,2006-04-10,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",9.8,NA,2006-04-10,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",4.8,NA,2006-04-10,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",4.8,NA,2006-04-10,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",4.7,NA,2006-04-10,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",5.8,NA,2006-04-10,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",5.4,NA,2006-04-10,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",3.6,NA,2006-04-10,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2.3,NA,2006-04-10,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2006-04-10,NA
"Green In","Greenway WTP Inlet","srp","Green In",4.9,NA,2006-05-15,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",4,NA,2006-05-15,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2.2,NA,2006-05-15,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2006-05-15,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",4.7,NA,2006-05-15,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",4.6,NA,2006-05-15,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",4.8,NA,2006-05-15,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2.2,NA,2006-05-15,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",4.7,NA,2006-05-15,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",4.8,NA,2006-05-15,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",4.7,NA,2006-05-15,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2.1,NA,2006-05-15,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",3.8,NA,2006-05-15,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",4.6,NA,2006-05-15,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2006-05-15,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",5,NA,2006-05-15,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2006-05-15,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",5,NA,2006-05-15,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2006-05-15,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",17,NA,2006-05-15,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",4.7,NA,2006-05-15,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",4.6,NA,2006-05-15,NA
"R25","verde river at beeline highway","verde","verde @ beeline",9.1,NA,2006-05-15,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.8,NA,2006-05-15,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",4.2,NA,2006-05-15,NA
"R3","Waddell Canal","cap","waddell canal",3,NA,2006-05-15,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",11.7,NA,2006-05-15,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",9.2,NA,2006-05-15,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",4.7,NA,2006-05-15,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",4.7,NA,2006-05-15,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",4.8,NA,2006-05-15,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2.9,NA,2006-05-15,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",5.1,NA,2006-05-15,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",3.5,NA,2006-05-15,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2.8,NA,2006-05-15,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2006-05-15,NA
"Green In","Greenway WTP Inlet","srp","Green In",4.5,NA,2006-06-13,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",3.2,NA,2006-06-13,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2.1,NA,2006-06-13,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2006-06-13,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",5,NA,2006-06-13,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",4.6,NA,2006-06-13,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",4.8,NA,2006-06-13,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2,NA,2006-06-13,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",4.4,NA,2006-06-13,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",5.4,NA,2006-06-13,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2.2,NA,2006-06-13,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2.1,NA,2006-06-13,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4,NA,2006-06-13,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",4.4,NA,2006-06-13,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2006-06-13,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",4.4,NA,2006-06-13,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2006-06-13,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",5.2,NA,2006-06-13,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2006-06-13,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",19.1,NA,2006-06-13,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",4.4,NA,2006-06-13,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",4.6,NA,2006-06-13,NA
"R25","verde river at beeline highway","verde","verde @ beeline",9.3,NA,2006-06-13,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.3,NA,2006-06-13,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.5,NA,2006-06-13,NA
"R3","Waddell Canal","cap","waddell canal",2.2,NA,2006-06-13,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",7.2,NA,2006-06-13,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",8.5,NA,2006-06-13,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",4.9,NA,2006-06-13,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",3.5,NA,2006-06-13,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",4.3,NA,2006-06-13,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",4.8,NA,2006-06-13,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",5.2,NA,2006-06-13,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",3,NA,2006-06-13,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",0,NA,2006-06-13,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2006-06-13,NA
"Green In","Greenway WTP Inlet","srp","Green In",5.2,NA,2006-07-11,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",4.2,NA,2006-07-11,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2,NA,2006-07-11,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2006-07-11,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",5.1,NA,2006-07-11,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",4.4,NA,2006-07-11,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",4.5,NA,2006-07-11,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",0,NA,2006-07-11,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",4.6,NA,2006-07-11,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",4.9,NA,2006-07-11,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2.9,NA,2006-07-11,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",3.4,NA,2006-07-11,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.2,NA,2006-07-11,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",4.7,NA,2006-07-11,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2006-07-11,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",4.1,NA,2006-07-11,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2006-07-11,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",4.5,NA,2006-07-11,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2006-07-11,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",19.4,NA,2006-07-11,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",5,NA,2006-07-11,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",4.6,NA,2006-07-11,NA
"R25","verde river at beeline highway","verde","verde @ beeline",NA,NA,2006-07-11,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.6,NA,2006-07-11,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2.6,NA,2006-07-11,NA
"R3","Waddell Canal","cap","waddell canal",3.3,NA,2006-07-11,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",12.5,NA,2006-07-11,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",4.2,NA,2006-07-11,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",4.1,NA,2006-07-11,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",4.1,NA,2006-07-11,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",7.4,NA,2006-07-11,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",4.9,NA,2006-07-11,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",5.1,NA,2006-07-11,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",3.1,NA,2006-07-11,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",3,NA,2006-07-11,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2006-07-11,NA
"Green In","Greenway WTP Inlet","srp","Green In",6.2,NA,2006-08-14,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",0,NA,2006-08-14,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2.3,NA,2006-08-14,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2006-08-14,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",4.7,NA,2006-08-14,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",4.8,NA,2006-08-14,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",5,NA,2006-08-14,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",0,NA,2006-08-14,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",5.3,NA,2006-08-14,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",5,NA,2006-08-14,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",NA,NA,2006-08-14,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",3.4,NA,2006-08-14,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.6,NA,2006-08-14,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",4.4,NA,2006-08-14,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2006-08-14,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",5.3,NA,2006-08-14,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2006-08-14,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",4.3,NA,2006-08-14,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2006-08-14,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",20.1,NA,2006-08-14,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",5.2,NA,2006-08-14,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",4.7,NA,2006-08-14,NA
"R25","verde river at beeline highway","verde","verde @ beeline",9.4,NA,2006-08-14,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.5,NA,2006-08-14,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",4.5,NA,2006-08-14,NA
"R3","Waddell Canal","cap","waddell canal",3.4,NA,2006-08-14,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",16.2,NA,2006-08-14,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",10.6,NA,2006-08-14,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",5.1,NA,2006-08-14,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",5.1,NA,2006-08-14,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",4,NA,2006-08-14,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",5.3,NA,2006-08-14,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",3.7,NA,2006-08-14,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",0,NA,2006-08-14,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",3.5,NA,2006-08-14,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2006-08-14,NA
"Green In","Greenway WTP Inlet","srp","Green In",5.1,NA,2006-09-12,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",NA,NA,2006-09-12,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",0,NA,2006-09-12,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2006-09-12,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",4.6,NA,2006-09-12,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",4.8,NA,2006-09-12,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",4.1,NA,2006-09-12,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",0,NA,2006-09-12,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",4.3,NA,2006-09-12,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",4.6,NA,2006-09-12,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",0,NA,2006-09-12,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",3.4,NA,2006-09-12,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",3.7,NA,2006-09-12,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",4.1,NA,2006-09-12,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2006-09-12,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",4,NA,2006-09-12,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2006-09-12,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",4.7,NA,2006-09-12,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2006-09-12,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",19.8,NA,2006-09-12,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",4.1,NA,2006-09-12,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",4.8,NA,2006-09-12,NA
"R25","verde river at beeline highway","verde","verde @ beeline",9.2,NA,2006-09-12,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3,NA,2006-09-12,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.6,NA,2006-09-12,NA
"R3","Waddell Canal","cap","waddell canal",0,NA,2006-09-12,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",15.5,NA,2006-09-12,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",10.8,NA,2006-09-12,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",4.5,NA,2006-09-12,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",4.5,NA,2006-09-12,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",4.6,NA,2006-09-12,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",0,NA,2006-09-12,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",5,NA,2006-09-12,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",0,NA,2006-09-12,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2,NA,2006-09-12,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2006-09-12,NA
"Green In","Greenway WTP Inlet","srp","Green In",5.1,NA,2006-10-10,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",NA,NA,2006-10-10,"1"
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",NA,NA,2006-10-10,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2006-10-10,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",NA,NA,2006-10-10,"1"
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",4.7,NA,2006-10-10,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",5.2,NA,2006-10-10,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",NA,NA,2006-10-10,"1"
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",NA,NA,2006-10-10,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",5.5,NA,2006-10-10,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2,NA,2006-10-10,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",NA,NA,2006-10-10,"1"
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.3,NA,2006-10-10,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",5,NA,2006-10-10,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",NA,NA,2006-10-10,"1"
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",3.5,NA,2006-10-10,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",NA,NA,2006-10-10,"1"
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",6.1,NA,2006-10-10,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",NA,NA,2006-10-10,"1"
"R20","Verde River at Tangle","verde","verde abv horseshoe",20.5,NA,2006-10-10,NA
